district,Latitude,Longitude,rent,bedrooms,living-dining,bathrooms,loft,sqmeters,entire_building,building_type,use_type_en,heat,ac,balcony,WIFI,outdoor_space,bathtub,floor_heat,oven,total_amens
Huangpu,31.21278,121.56217,4200,1,1,1,0,19,0,detached lane house,residential,0,1,0,0,1,1,0,0,3
Xuhui,31.21278,121.56217,4200,1,0,1,0,35,0,public housing,residential,0,1,1,1,0,0,0,0,3
Xuhui,31.21278,121.56217,4200,1,0,1,0,22,0,detached lane house,residential,0,1,0,1,0,0,0,0,2
Huangpu,31.21278,121.56217,4200,1,1,1,0,20,0,attached lane house,residential,0,0,0,0,1,0,0,0,1
Jing'an,31.21278,121.56217,4200,1,0,1,0,38,0,public housing,residential,1,1,1,0,0,1,0,0,4
Huangpu,31.21278,121.56217,4200,1,0,1,0,25,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,31.21278,121.56217,4200,1,0,1,0,20,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,31.21278,121.56217,4200,1,1,1,0,38,0,detached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,31.21278,121.56217,4200,1,1,1,0,40,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,31.21278,121.56217,4200,1,1,1,0,32,0,detached lane house,multi-use,0,1,0,0,0,0,0,0,1
Xuhui,31.21278,121.56217,4200,1,0,1,0,15,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,31.21278,121.56217,4300,1,1,2,0,30,0,attached lane house,residential,1,0,0,0,0,0,1,0,2
Xuhui,31.21278,121.56217,4300,1,1,1,0,20,0,attached lane house,residential,0,0,0,0,1,0,0,0,1
Xuhui,31.21278,121.56217,4300,1,1,1,1,28,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,31.21278,121.56217,4300,1,1,1,0,16,0,attached lane house,residential,1,1,0,1,0,0,0,0,3
Pudong,31.21278,121.56217,4300,1,1,1,0,36,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Changning,31.21278,121.56217,4300,1,0,1,0,36,0,public housing,residential,0,0,0,0,0,0,0,0,0
Changning,31.21278,121.56217,4300,1,0,1,0,42,0,public housing,residential,0,1,1,0,0,0,0,0,2
Huangpu,31.21278,121.56217,4300,1,1,1,1,20,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,31.21278,121.56217,4300,1,0,1,0,25,0,attached lane house,residential,1,1,0,0,0,0,0,0,2
Xuhui,31.21278,121.56217,4300,1,1,1,0,50,0,detached lane house,residential,1,1,0,0,1,0,0,0,3
Huangpu,31.21278,121.56217,4300,1,1,1,0,30,0,detached lane house,residential,0,0,0,0,1,0,0,0,1
Huangpu,31.21278,121.56217,4400,1,0,1,0,20,0,attached lane house,residential,0,0,0,0,0,0,0,0,0
Xuhui,31.21278,121.56217,4488,1,0,1,0,20,0,attached lane house,residential,1,0,0,0,0,0,0,0,1
Pudong,31.21278,121.56217,4499,1,1,1,0,40,0,public housing,residential,0,1,1,0,1,0,0,0,3
Huangpu,31.21278,121.56217,4500,1,1,1,0,25,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,31.21278,121.56217,4500,1,1,1,0,34,0,public housing,residential,0,1,1,0,0,0,0,0,2
